hospital_id,hospital_type,blood_type,temperature_c,dengue_cases_weekly,day_of_week,month,units_demanded
3,Clinic,B_NEG,35.4,5,2,12,11
1,Trauma,A_NEG,22.2,287,7,10,37
5,Trauma,A_POS,33.3,105,4,12,31
9,General,O_POS,37.5,145,2,4,19
1,Clinic,AB_NEG,29.0,270,7,5,23
3,General,O_POS,25.8,95,6,2,14
4,Trauma,O_POS,33.3,228,3,10,41
1,General,AB_POS,35.1,201,2,1,32
1,General,B_POS,30.7,211,3,7,26
8,General,A_POS,37.5,5,2,10,23
2,General,AB_POS,22.8,111,3,1,16
8,Trauma,AB_POS,30.1,105,6,11,28
7,General,AB_NEG,33.5,138,4,11,21
2,General,B_NEG,35.8,298,5,8,32
6,General,AB_NEG,24.9,95,3,3,18
6,General,B_NEG,34.8,296,6,10,31
3,General,B_NEG,30.8,213,3,6,26
2,General,A_POS,28.3,290,4,7,27
1,Trauma,O_POS,24.1,21,3,10,23
6,Trauma,A_POS,35.8,192,6,1,37
5,Trauma,B_POS,24.5,149,7,6,23
9,General,B_NEG,27.0,246,6,7,27
1,General,AB_POS,26.6,266,1,6,29
7,Clinic,O_POS,35.9,250,4,4,24
5,Trauma,A_NEG,32.8,2,7,1,31
5,General,B_POS,34.7,75,1,11,17
2,General,A_POS,26.0,86,4,9,13
3,General,AB_NEG,32.0,269,7,4,30
7,General,B_POS,31.1,224,3,7,27
6,General,B_POS,35.3,17,7,7,19
2,Trauma,O_POS,36.5,112,6,2,29
6,Trauma,B_POS,22.2,250,1,1,35
2,Trauma,B_POS,32.8,232,3,8,40
2,Trauma,A_NEG,22.8,278,6,8,37
2,Clinic,O_NEG,30.8,201,4,7,32
3,Trauma,AB_NEG,26.6,82,7,8,22
2,Clinic,AB_NEG,26.9,124,6,3,14
4,General,AB_NEG,27.6,174,3,11,27
9,General,B_NEG,31.9,68,1,2,13
6,General,AB_POS,27.3,46,1,7,12
1,Trauma,O_NEG,33.7,255,7,8,50
8,Clinic,AB_NEG,28.5,214,6,1,19
7,General,B_POS,23.1,29,3,12,14
3,Clinic,B_POS,34.5,280,2,10,26
1,General,AB_NEG,26.6,236,4,9,29
5,Clinic,O_POS,28.9,247,4,11,24
4,General,AB_NEG,33.0,24,3,4,18
8,General,B_POS,27.3,73,2,12,15
1,General,B_NEG,22.9,205,1,4,24
1,General,A_POS,28.0,93,7,3,11
4,General,A_POS,37.1,126,5,6,17
8,General,O_NEG,32.3,24,5,1,29
5,Clinic,O_NEG,32.7,115,7,6,24
2,Trauma,AB_NEG,32.1,47,3,2,30
6,General,A_NEG,25.2,225,2,9,24
5,Trauma,AB_NEG,28.7,265,2,2,36
2,Trauma,O_POS,34.0,98,4,7,27
3,General,AB_NEG,23.6,10,1,12,15
9,General,O_NEG,26.4,84,6,1,23
7,General,A_POS,26.4,213,2,12,25
7,General,B_POS,28.9,172,7,7,28
6,Trauma,AB_NEG,37.7,208,6,5,41
8,General,B_POS,23.1,63,5,8,14
4,Trauma,B_POS,30.3,257,6,4,38
8,Trauma,A_NEG,24.9,120,1,12,27
4,General,B_POS,37.5,297,7,10,34
8,Trauma,A_POS,23.8,53,1,7,26
9,General,B_NEG,28.5,271,6,6,28
3,Clinic,B_NEG,33.8,240,3,5,26
3,General,AB_POS,33.3,242,2,4,33
2,Clinic,O_POS,28.8,17,7,7,8
3,Trauma,AB_NEG,27.5,186,3,12,39
3,General,O_POS,28.4,143,6,5,14
5,Trauma,A_POS,26.2,261,2,5,40
5,Clinic,B_POS,25.3,238,4,1,23
2,Trauma,B_NEG,29.7,297,3,2,37
6,Clinic,O_POS,26.3,75,3,5,10
5,Clinic,A_POS,26.6,187,6,3,23
6,General,B_NEG,32.5,245,5,2,32
1,General,B_POS,37.5,129,6,4,18
5,Trauma,O_POS,31.7,282,3,4,37
9,General,B_NEG,23.2,78,2,4,17
2,Clinic,AB_NEG,23.2,71,5,4,7
1,Clinic,O_NEG,37.2,262,6,3,35
9,General,AB_NEG,26.8,190,7,12,28
9,General,AB_POS,23.5,62,6,7,17
9,Trauma,AB_POS,31.6,11,3,9,24
6,General,B_NEG,32.0,140,3,12,15
8,Clinic,O_NEG,32.4,253,4,5,34
1,General,A_POS,26.3,42,6,4,16
4,Trauma,AB_NEG,22.2,16,3,11,26
1,General,A_POS,37.4,62,7,2,17
8,Trauma,O_NEG,26.0,252,1,2,46
1,General,A_POS,32.8,291,5,5,35
3,Trauma,O_NEG,33.3,7,1,7,38
4,General,B_NEG,31.8,89,5,10,18
8,Trauma,A_POS,27.0,207,7,10,39
6,Clinic,AB_NEG,26.3,291,6,9,25
7,General,B_POS,31.6,283,4,7,28
8,General,AB_POS,35.9,117,3,5,20
2,General,B_POS,37.1,174,3,10,32
8,Trauma,A_POS,23.7,75,3,10,25
3,Trauma,B_POS,24.5,100,6,10,26
7,Trauma,AB_NEG,37.1,150,5,6,28
3,General,AB_NEG,33.8,269,7,11,35
7,General,A_POS,36.1,70,3,12,17
2,Trauma,B_NEG,25.2,179,1,3,39
6,General,B_POS,31.4,123,3,5,18
3,Clinic,B_NEG,33.2,292,6,8,26
3,General,B_NEG,32.9,284,7,1,29
9,Trauma,O_NEG,28.5,194,4,12,47
7,General,A_NEG,22.2,227,7,1,27
5,General,A_POS,31.3,274,1,7,29
7,Trauma,AB_POS,26.0,105,3,5,25
9,Trauma,AB_NEG,29.2,20,3,5,28
1,Clinic,AB_NEG,37.3,63,2,1,10
7,General,A_POS,28.4,164,5,9,28
6,General,O_NEG,35.4,26,1,1,30
9,Trauma,O_POS,25.0,284,2,5,37
1,Trauma,O_POS,32.8,147,7,10,30
4,General,O_POS,37.6,280,4,9,30
9,General,O_NEG,23.6,163,5,4,35
4,General,AB_POS,22.1,223,1,8,24
3,Clinic,AB_NEG,28.9,271,3,6,21
9,General,A_POS,23.5,145,7,11,13
2,General,O_NEG,34.0,29,1,3,28
4,General,AB_NEG,36.6,44,3,4,18
6,General,B_NEG,28.9,274,5,2,26
2,General,B_POS,26.1,33,3,1,14
8,Trauma,B_POS,29.0,140,4,8,24
8,General,O_NEG,33.6,220,7,1,40
1,Clinic,AB_NEG,22.1,21,6,11,11
3,General,A_NEG,31.4,179,3,1,29
9,Trauma,AB_POS,31.8,230,4,4,38
5,Clinic,O_POS,32.2,37,6,10,15
6,Trauma,AB_POS,25.9,69,7,12,24
4,Trauma,AB_POS,33.4,115,5,10,28
2,General,O_NEG,23.5,238,5,6,33
8,General,B_NEG,25.2,147,7,9,13
6,Trauma,AB_POS,36.0,8,7,1,29
5,Clinic,B_POS,33.8,287,1,7,25
9,Trauma,B_NEG,22.2,49,4,10,28
1,Trauma,A_POS,26.0,4,4,11,25
5,Trauma,AB_POS,25.4,125,7,5,28
6,General,AB_POS,26.3,74,2,12,16
5,General,A_POS,26.0,164,2,8,25
6,Trauma,AB_POS,23.0,277,6,7,37
6,Clinic,A_POS,29.3,299,6,4,19
7,General,B_NEG,33.7,289,2,4,31
4,Trauma,B_POS,31.7,76,7,6,24
8,General,A_POS,32.8,297,7,6,29
7,Trauma,A_NEG,23.3,136,6,9,28
9,General,O_NEG,37.2,105,3,12,29
7,General,O_NEG,35.4,94,7,5,29
3,Trauma,A_POS,34.9,134,2,8,31
3,General,O_NEG,35.2,67,4,5,25
8,Trauma,AB_POS,36.9,146,7,2,28
5,Trauma,O_POS,30.7,158,7,6,36
4,Clinic,O_POS,25.2,162,3,9,19
8,General,O_NEG,31.9,188,6,3,34
6,General,B_NEG,33.9,94,7,1,18
2,General,AB_NEG,33.8,180,5,1,31
4,Clinic,B_NEG,30.3,287,1,3,27
4,Clinic,AB_NEG,23.1,186,2,10,22
6,Trauma,O_POS,27.9,137,5,5,25
6,Clinic,O_POS,36.7,129,6,3,13
1,Trauma,A_POS,31.4,193,4,9,38
8,Trauma,B_POS,30.6,272,1,8,35
6,General,A_NEG,26.3,143,5,3,19
3,Trauma,B_NEG,27.9,15,1,9,25
9,General,AB_POS,36.3,244,2,6,30
2,Clinic,AB_NEG,32.7,106,6,7,16
8,Trauma,O_NEG,34.6,87,7,4,35
3,Trauma,AB_POS,29.3,128,4,4,26
5,General,B_POS,32.1,3,6,12,22
6,General,AB_NEG,26.0,94,1,2,15
6,General,B_NEG,33.3,208,5,5,35
4,General,A_POS,28.8,224,2,8,28
3,General,AB_POS,29.1,46,2,7,16
4,Clinic,B_POS,32.4,180,6,7,29
1,Trauma,B_NEG,37.0,105,7,6,32
4,General,O_POS,23.0,198,5,3,28
1,General,O_POS,35.2,105,7,5,21
1,General,B_NEG,26.7,279,7,1,30
6,Trauma,B_NEG,29.1,259,5,7,35
5,Trauma,B_NEG,22.4,107,1,9,22
4,Clinic,AB_NEG,26.8,18,6,1,10
3,General,B_NEG,30.0,295,6,2,23
1,Clinic,AB_POS,22.9,170,3,3,21
6,Clinic,B_POS,29.9,194,6,3,23
2,General,AB_NEG,36.8,11,2,8,18
8,Clinic,B_NEG,23.7,194,1,7,22
5,General,A_NEG,34.2,282,5,6,29
7,Clinic,O_NEG,28.6,181,6,10,32
2,General,A_NEG,32.5,143,1,10,17
8,Clinic,B_POS,26.2,181,6,11,18
2,Clinic,O_POS,24.6,29,5,4,10
4,Clinic,A_POS,24.6,83,4,9,12
1,Trauma,A_POS,23.1,165,5,1,37
5,General,O_NEG,25.0,283,5,11,33
9,General,O_POS,32.6,280,5,2,31
1,General,AB_NEG,36.1,95,6,4,20
9,General,AB_NEG,35.0,265,3,3,31
8,Trauma,AB_NEG,33.0,297,5,1,40
6,General,A_POS,23.8,295,2,5,28
7,Clinic,A_NEG,26.6,224,2,7,19
3,Trauma,A_POS,27.0,41,1,2,23
1,Clinic,AB_POS,26.0,245,3,5,19
5,General,B_NEG,30.2,207,1,6,30
2,Clinic,AB_NEG,30.6,236,2,11,23
5,Clinic,A_NEG,27.7,21,7,7,10
8,General,B_POS,27.7,184,2,1,24
9,Trauma,O_NEG,35.3,241,4,7,50
2,Trauma,B_POS,34.6,282,5,4,44
3,General,B_NEG,26.9,40,7,8,16
3,Trauma,A_NEG,36.6,161,2,4,41
1,General,A_POS,37.2,159,6,6,32
8,General,A_POS,27.2,88,6,9,16
6,General,AB_POS,27.7,11,1,5,17
8,General,AB_POS,30.1,72,7,12,17
9,General,A_POS,37.1,75,1,4,19
5,General,B_POS,36.0,200,5,8,30
3,Clinic,O_NEG,23.6,9,5,9,17
5,Trauma,AB_NEG,28.3,225,4,4,38
5,Clinic,B_POS,30.9,175,3,3,21
5,General,O_NEG,30.1,275,1,8,33
3,General,AB_POS,25.1,38,5,5,15
4,Trauma,B_NEG,35.7,59,1,2,31
9,General,O_NEG,32.8,65,5,10,27
9,General,A_POS,35.4,123,2,9,18
2,Trauma,AB_POS,35.7,163,1,3,42
8,General,AB_POS,34.0,158,2,12,31
8,Trauma,AB_NEG,29.0,56,1,2,21
7,Trauma,A_POS,31.8,77,3,1,26
8,General,AB_NEG,24.6,193,4,8,28
3,General,A_POS,32.8,284,6,11,31
6,Trauma,AB_NEG,24.9,14,6,3,27
1,General,O_NEG,33.1,11,6,7,29
7,General,B_POS,25.7,100,2,1,17
1,Clinic,B_NEG,23.9,155,7,1,20
9,General,B_NEG,24.6,124,5,12,13
1,Trauma,A_POS,22.0,279,6,9,39
1,Clinic,A_NEG,33.5,109,3,12,10
7,General,O_POS,33.7,145,6,8,19
2,General,AB_POS,30.2,215,1,12,28
5,General,AB_POS,24.6,161,2,3,23
8,General,A_POS,23.3,127,7,6,15
8,General,O_NEG,22.3,149,1,11,25
3,Trauma,AB_NEG,24.7,35,7,3,22
7,General,A_NEG,36.3,172,1,12,34
3,Trauma,B_POS,25.9,21,1,4,23
6,Clinic,AB_NEG,27.7,205,4,1,23
6,Clinic,AB_NEG,23.7,126,4,5,10
3,Trauma,A_POS,25.6,216,5,1,37
7,General,A_POS,30.3,95,2,1,12
3,Trauma,O_NEG,31.7,163,3,10,48
8,Trauma,AB_POS,25.9,147,3,11,26
4,General,A_POS,22.9,17,3,11,18
1,General,A_POS,28.3,293,1,7,24
4,Clinic,A_POS,25.7,194,4,12,22
7,General,O_NEG,25.5,150,2,6,23
4,General,AB_POS,37.4,122,1,2,19
6,General,B_POS,31.9,186,7,11,28
9,General,B_POS,30.9,148,4,12,15
1,Clinic,O_POS,28.7,103,4,2,14
5,Trauma,O_POS,28.9,242,6,11,37
7,Trauma,A_POS,30.7,230,6,7,31
1,General,O_POS,33.1,205,2,1,31
4,General,AB_POS,33.2,197,7,2,34
6,General,O_NEG,24.7,86,2,12,21
2,General,B_POS,30.0,141,2,8,13
5,General,AB_NEG,28.6,198,1,6,25
1,Trauma,B_POS,35.9,45,5,2,27
6,General,B_POS,32.1,287,2,7,30
6,Trauma,AB_POS,30.5,14,6,4,27
4,General,O_POS,23.8,43,5,2,18
8,General,AB_NEG,31.7,168,1,12,22
4,General,AB_POS,23.9,43,5,6,14
8,Clinic,A_POS,27.4,97,3,11,11
8,Clinic,O_NEG,24.3,260,7,9,30
5,Clinic,B_NEG,33.1,108,5,11,18
4,General,B_POS,25.3,282,2,9,23
2,General,B_NEG,28.3,103,1,8,10
3,Trauma,O_NEG,36.3,255,7,3,53
3,General,O_NEG,25.3,205,2,3,37
4,Clinic,AB_POS,30.1,42,7,2,9
4,General,AB_POS,28.7,244,6,5,27
5,General,AB_POS,22.3,286,3,12,27
4,General,B_NEG,34.7,272,6,4,30
8,General,AB_POS,23.1,82,2,7,15
6,Trauma,O_NEG,29.6,109,2,4,34
6,General,A_POS,31.0,189,2,9,31
8,General,AB_POS,32.1,287,4,12,33
7,General,A_NEG,33.0,250,3,12,34
8,General,O_POS,26.1,211,7,2,24
2,Trauma,B_NEG,22.2,290,2,11,36
9,Clinic,A_NEG,33.6,132,2,6,14
1,Clinic,AB_POS,30.6,200,7,7,18
8,Trauma,O_NEG,35.4,284,6,4,51
4,General,A_POS,35.1,94,6,6,20
4,Trauma,B_POS,35.5,277,2,7,40
5,General,AB_NEG,29.8,218,1,4,27
8,General,O_POS,27.3,88,4,8,18
5,Clinic,AB_NEG,34.7,71,6,9,12
8,General,AB_POS,29.2,246,1,1,30
1,Clinic,O_POS,24.9,128,4,7,9
9,General,O_POS,35.7,211,2,9,33
6,Trauma,A_POS,36.1,95,3,12,29
3,Trauma,O_POS,29.5,74,5,10,29
8,Clinic,B_NEG,23.2,53,5,5,8
9,Trauma,A_NEG,28.2,53,2,12,24
6,Trauma,A_NEG,34.9,217,6,2,38
7,General,A_NEG,36.4,15,1,10,17
1,Trauma,B_NEG,25.3,98,3,6,26
5,General,AB_NEG,23.1,19,7,12,18
5,Trauma,A_POS,36.0,45,4,12,31
4,Trauma,O_POS,28.2,192,2,7,37
6,Trauma,B_NEG,30.7,57,3,2,23
7,General,A_NEG,37.5,110,3,2,21
9,General,AB_POS,23.1,128,6,10,13
1,Trauma,B_POS,32.4,193,4,12,38
6,General,O_POS,23.2,7,3,10,14
7,General,B_NEG,28.0,28,6,1,11
3,General,O_NEG,34.9,111,1,4,24
8,Clinic,B_NEG,28.9,160,6,7,26
5,Trauma,A_POS,38.0,130,1,9,26
9,General,A_POS,30.9,187,1,3,25
5,General,B_NEG,27.1,162,7,12,27
9,General,A_NEG,25.5,196,7,11,27
4,Trauma,B_POS,27.6,203,3,7,37
9,Trauma,O_POS,28.0,211,6,7,33
5,General,A_POS,23.1,108,7,7,17
9,General,O_POS,27.9,275,1,2,26
3,General,A_NEG,29.4,72,7,6,17
4,Trauma,O_POS,33.6,166,4,2,40
9,Trauma,AB_POS,32.5,259,3,6,43
6,General,A_POS,33.3,242,6,10,34
2,General,A_NEG,22.1,274,6,3,26
7,General,A_NEG,25.5,101,5,2,17
2,Clinic,B_POS,32.6,172,6,12,23
2,General,B_POS,29.7,170,3,6,28
1,Trauma,AB_POS,22.1,140,4,2,27
3,Trauma,A_NEG,34.9,187,6,5,42
6,General,AB_NEG,34.4,85,5,2,24
8,General,A_NEG,30.8,51,3,3,16
9,General,B_POS,23.1,110,1,3,14
7,Trauma,AB_NEG,34.3,42,2,6,35
4,Trauma,A_POS,31.3,210,2,6,40
6,Trauma,A_POS,34.5,199,1,10,38
5,Trauma,O_POS,34.0,297,7,3,39
8,General,B_NEG,34.8,239,6,3,29
1,Clinic,B_POS,30.3,114,2,12,11
1,Trauma,B_NEG,24.2,25,7,1,26
6,General,AB_NEG,32.7,298,2,7,32
2,Clinic,B_POS,31.9,76,1,8,7
5,Trauma,AB_POS,33.9,136,6,2,28
1,Trauma,A_NEG,24.7,19,6,4,25
7,Trauma,AB_POS,25.1,210,7,10,33
1,Clinic,AB_NEG,36.2,239,1,7,24
4,Trauma,B_POS,34.0,38,7,8,32
9,General,O_NEG,36.5,267,6,1,36
1,General,AB_NEG,34.1,206,6,4,34
4,Clinic,O_NEG,31.6,266,3,6,32
6,General,A_NEG,32.5,153,7,3,30
6,General,A_POS,36.2,41,3,5,18
8,General,A_POS,31.3,10,1,10,17
1,General,AB_NEG,32.1,293,4,9,29
7,Trauma,B_NEG,24.5,97,2,11,24
1,Clinic,B_POS,29.6,274,3,3,22
7,General,B_POS,33.5,229,2,5,27
3,General,A_POS,26.3,219,5,8,24
8,General,O_POS,25.2,64,1,6,14
3,Clinic,AB_POS,27.0,231,4,4,23
1,Trauma,O_POS,25.9,51,5,8,23
8,General,A_NEG,25.4,262,5,11,27
3,Clinic,AB_POS,28.8,266,6,3,19
2,Clinic,AB_POS,36.5,153,5,3,28
1,Clinic,AB_NEG,30.1,139,1,4,10
3,Clinic,A_POS,25.0,50,3,9,11
2,General,O_POS,23.2,116,1,5,16
2,Trauma,O_POS,33.1,45,3,8,29
6,General,A_POS,28.1,87,5,6,14
1,Clinic,O_POS,35.1,207,5,3,28
2,Trauma,O_NEG,32.6,268,4,8,49
6,Trauma,A_POS,34.7,88,3,12,29
3,Trauma,AB_NEG,26.4,117,5,9,25
4,General,B_NEG,33.1,53,6,8,19
1,Trauma,AB_POS,26.2,115,2,4,25
8,Clinic,AB_NEG,37.0,117,4,11,15
7,Clinic,B_POS,32.2,259,1,6,24
7,General,A_NEG,27.2,74,4,1,13
3,General,B_NEG,26.3,6,2,4,16
3,General,B_POS,25.1,121,3,8,15
2,Trauma,AB_POS,33.1,10,1,1,31
1,Clinic,O_POS,25.5,214,1,3,23
7,General,A_POS,31.5,278,3,1,26
7,Trauma,AB_POS,26.2,27,7,9,26
2,Clinic,AB_NEG,32.6,234,7,2,28
7,Trauma,A_NEG,35.0,25,4,9,30
8,Trauma,AB_NEG,34.4,53,5,4,30
1,Trauma,B_NEG,34.2,28,7,2,29
9,Trauma,B_NEG,25.0,163,4,4,39
7,General,A_NEG,23.4,269,7,12,26
3,Trauma,O_NEG,33.2,34,2,11,38
